Id,Label,timeset,modularity_class,availability,pricing_estimate,supplier_url,notes,last_research_date
06A0001,o6 Agencies,,1,Fragrance and Flavour Supplier,Contact for quote,https://o6southafrica.com/,Supplier of fragrances and flavors for the Southern and Eastern African markets.,2025-11-03
AEC001,A&E Connock,,2,Speciality Ingredients Supplier,Contact for quote,https://connock.co.uk/,UK-based supplier of speciality ingredients to the personal care industry worldwide.,2025-11-03
AKU001,AECI Specialty Chemicals,,3,Personal Care Ingredients,Contact for quote,https://sc.aecichemicals.co.za/,Diversified chemical company with personal care applications lab. Winner of 2022 Responsible Care Initiative. Focus on green chemistry and sustainability.,2025-11-03
BOT0003,Botanichem,,4,Online Shop Available,R352.35 - R10318.45 (online pricing),https://botanichem.co.za/,"Full-service agency with transparent online pricing via The Personal Care Coach platform. Distributes BASF products. Offers stability testing, formulation, quality assurance. Only supplier with direct online pricing. Phone: 011 425 2206",2025-11-03
CAR0002,"Carst&Walker,div of Zenith Ho",,5,Unknown,Unknown,Unknown,,2025-10-13
CHE0004,Chempure (Pty) Ltd,,6,Unknown,Unknown,Unknown,,2025-10-13
CJP0001,CJP Chemicals (Pty) Ltd,,7,Unknown,Unknown,Unknown,,2025-10-13
CLI0001,Clive Teubes CC / Scatters Oils,,8,Unknown,Unknown,Unknown,,2025-10-13
COS0007,Cosmetic Ingredients (Pty) Ltd,,9,Unknown,Unknown,Unknown,,2025-10-13
CRO0001,Croda Chemicals S.A (Pty) Ltd,,10,Available - Direct from Croda,Contact for quote,https://www.croda.com/en-gb/about-us/where-we-operate/emea/south-africa,"Established 1972. Centre of Excellence opened 2015 in Boksburg. 757 products globally, 200+ active ingredients. All 7 ingredients confirmed available. Phone: +27 11 397 2380. Premium biotech actives including Sederma portfolio.",2025-11-03
CTE0001,Chemgrit Cosmetics (C-Tec),,11,Unknown,Unknown,Unknown,,2025-10-13
EVO0001,Protea Chemicals,,12,Unknown,Unknown,Unknown,,2025-10-13
HEX0001,Orkila,,13,Unknown,Unknown,Unknown,,2025-10-13
LIP0001,Vantage Speciality Chemicals,,14,Unknown,Unknown,Unknown,,2025-10-13
Maccullum,Exsymol,,15,Unknown,Unknown,Unknown,,2025-10-13
MAT0002,Materia Medica,,16,Unknown,Unknown,Unknown,,2025-10-13
MEG0001,Meganede CC,,17,Available - Silab Distributor,Contact for quote,https://www.meganede.com/,"Distributor of Silab (100+ natural active ingredients). Also represents Bioglitter, Gobiotics, Antaria. 15 ingredients (16% market share). EcoVadis Platinum status. Email: info@meganede.com",2025-11-03
R1905018,Glyco Repair,,17,Available,Contact for quote,https://www.silab.fr/en,GLYCO-REPAIR® from Silab. Regenerates natural skin repair processes. Dual action on epidermis and dermis.,2025-11-03
R1905027,Deglysome,,17,Available,Contact for quote,https://www.silab.fr/en,DEGLYSOME® from Silab. Protects against cellular and tissular glycation damage.,2025-11-03
R1905035,Sebonormine OP,,17,Available,Contact for quote,https://www.silab.fr/en,"SEBONORMINE® from Silab. Triple action for oily skin, reduces sebum secretions.",2025-11-03
R1905041,Unflamagyl,,17,Available,Contact for quote,https://www.silab.fr/en,"UNFLAMAGYL® from Silab. Anti-inflammaging ingredient, increases elasticity and tone.",2025-11-03
R1905046,Dermapur HP OP,,17,Available,Contact for quote,https://www.silab.fr/en,DERMAPUR® from Silab. Purifying and anti-acne action.,2025-11-03
R1905048,Vitagenyl,,17,Available,Contact for quote,https://www.silab.fr/en,"VITAGENYL® from Silab. Adaptative anti-aging strategy, stimulates vitagene expression.",2025-11-03
R1905049,Detoxyl OP,,17,Available,Contact for quote,https://www.silab.fr/en,"DETOXYL® from Silab. Powerful detoxifying agent, protects against urban pollutants.",2025-11-03
R1905050,Celldetox,,17,Available,Contact for quote,https://www.silab.fr/en,"CELLDETOX® from Silab. Improves skin radiance, limits aging signs.",2025-11-03
R1905051,Mitokinyl,,17,Available,Contact for quote,https://www.silab.fr/en,MITOKINYL® from Silab. Mitochondrial energy booster.,2025-11-03
R1905052,Fermiskin GR,,17,Available,Contact for quote,https://www.silab.fr/en,FERMISKIN® from Silab. Firming action.,2025-11-03
R1905053,Retilactyl D,,17,Available,Contact for quote,https://www.silab.fr/en,RETILACTYL® from Silab. Retinol-like action.,2025-11-03
R1905054,Raffermine 2,,17,Available,Contact for quote,https://www.silab.fr/en,RAFFERMINE® from Silab. Firming and toning.,2025-11-03
R1905056,Eternaline,,17,Available,Contact for quote,https://www.silab.fr/en,ETERNALINE® from Silab. Longevity and anti-aging.,2025-11-03
R1905057,Oxygeskin,,17,Available,Contact for quote,https://www.silab.fr/en,OXYGESKIN® from Silab. Oxygenation and revitalization.,2025-11-03
R1905058,Aquaphyline EL,,17,Available,Contact for quote,https://www.silab.fr/en,AQUAPHYLINE® from Silab. Hydration and moisture retention.,2025-11-03
,,,,,,,,2025-10-13
MER0001,Merck (Pty) Ltd,,18,Unknown,Unknown,Unknown,,2025-10-13
MIL0001,Millchem,,19,Unknown,Unknown,Unknown,,2025-10-13
NAT0001,Natchem CC,,20,Available - Greentech Distributor,Contact for quote,https://cpt.natchem.co.za/,"Exclusive distributor for Greentech in South Africa. Supplies top cosmetic manufacturers. Ecocert NaTrue ISO 22716 GMP certified. 16 ingredients (18% market share). Contact: 010 010 6174, WhatsApp: +27 82 331 4508",2025-11-03
ORC0001,Orchem,,21,Unknown,Unknown,Unknown,,2025-10-13
SAV0001,Savannah Fine Chem (Pty) Ltd,,22,Unknown,Unknown,Unknown,,2025-10-13
SIY0002,IMCD South Africa (Pty) Ltd,,23,Unknown,Unknown,Unknown,,2025-10-13
R1907000,Perf Citrus Therm 701081,,1,Unknown,Unknown,Unknown,,2025-10-13
R1908000,Azulene Pure (659833) *GRAM,,2,Unknown,Unknown,Unknown,,2025-10-13
R1902003,Iselux Ultra Mild,,3,Unknown,Unknown,Unknown,,2025-10-13
R1905039,Epigenist LS10003,,4,Available,Contact for quote,https://botanichem.co.za/,"From Botanichem, likely via BASF or JAKA partners.",2025-11-03
R1905042,Eperuline PW LS 9627,,4,Available,Contact for quote,https://botanichem.co.za/,"From Botanichem, likely via BASF or JAKA partners.",2025-11-03
R1905011,CM-Glucan Granulate,,5,Unknown,Unknown,Unknown,,2025-10-13
R1905012,Perfection Peptide P3,,5,Unknown,Unknown,Unknown,,2025-10-13
R1905023,AquaCacteen,,5,Unknown,Unknown,Unknown,,2025-10-13
R1905024,Happybelle-PE,,5,Unknown,Unknown,Unknown,,2025-10-13
R1905047,Gatuline Derma - Sensitive,,5,Unknown,Unknown,Unknown,,2025-10-13
R1911000,Sucragel AOF,,5,Unknown,Unknown,Unknown,,2025-10-13
R1911001,Carbopol Ultrez 30,,5,Unknown,Unknown,Unknown,,2025-10-13
R1911003,Carbopol EDT 2050,,5,Unknown,Unknown,Unknown,,2025-10-13
R1905016,Regu-Stretch,,6,Unknown,Unknown,Unknown,,2025-10-13
R1905017,Alpaflor Imperatoria,,6,Unknown,Unknown,Unknown,,2025-10-13
R1905021,L-Carnitine,,6,Unknown,Unknown,Unknown,,2025-10-13
R1901001,Pomegranate Seed Oil,,7,Unknown,Unknown,Unknown,,2025-10-13
R1901006,Borage Oil Refined GLA 20PCT,,7,Unknown,Unknown,Unknown,,2025-10-13
R1902000,Oronal LCG,,7,Unknown,Unknown,Unknown,,2025-10-13
R1902001,Proteol OAT,,7,Unknown,Unknown,Unknown,,2025-10-13
R1905014,Sepicalm S,,7,Unknown,Unknown,Unknown,,2025-10-13
R1906000,Montanov L,,7,Unknown,Unknown,Unknown,,2025-10-13
R1906001,Montanov S,,7,Unknown,Unknown,Unknown,,2025-10-13
R1911002,Sepimax Zen,,7,Unknown,Unknown,Unknown,,2025-10-13
R1913014,Grapefruit Oil Pink,,8,Unknown,Unknown,Unknown,,2025-10-13
R1905004,Hyaluronic Acid HMW,,9,Unknown,Unknown,Unknown,,2025-10-13
R1901005,Arlamol LST-LQ-(MH),,10,Available,Contact for quote,https://www.crodabeauty.com/en-gb/products,Arlamol™ LST from Croda. Light emollient with high skin spreading.,2025-11-03
R1905002,Chronodyn,,10,Available,Contact for quote,https://www.crodabeauty.com/en-gb/products,"Chronodyn™ from Croda. Chronobiological cell energizer, tones and firms skin.",2025-11-03
R1905003,Biopeptide CL,,10,Available,Contact for quote,https://www.crodabeauty.com/en-gb/products,Biopeptide CL™ from Croda/Sederma. Messenger peptide for collagen renewal.,2025-11-03
R1905025,Skin Tightener-ST(TM) PH,,10,Available,Contact for quote,https://www.crodabeauty.com/en-gb/products,From Croda. Skin tightening and firming active.,2025-11-03
R1905026,Beautifeye,,10,Available,Contact for quote,https://www.crodabeauty.com/en-gb/products,From Croda. Eye contour care (may be Ameyezing 4.0™).,2025-11-03
R1905033,Evermat,,10,Available,Contact for quote,https://www.crodabeauty.com/en-gb/products,Evermat™ from Croda. Mattifying and sebum control.,2025-11-03
R1905034,Intenslim,,10,Available,Contact for quote,https://www.crodabeauty.com/en-gb/products,"Intenslim™ from Croda/Sederma. Natural fat burner, slimming active.",2025-11-03
R1901002,Cetiol Sensoft,,11,Unknown,Unknown,Unknown,,2025-10-13
R1901003,Cetiol B,,11,Unknown,Unknown,Unknown,,2025-10-13
R1905019,Exfo-Bio,,11,Unknown,Unknown,Unknown,,2025-10-13
R1905029,Cosmedia DC,,11,Unknown,Unknown,Unknown,,2025-10-13
R1905030,Uvinul T150,,11,Unknown,Unknown,Unknown,,2025-10-13
R1905043,Cetiol SB45,,11,Unknown,Unknown,Unknown,,2025-10-13
R1905015,Aerosil R972,,12,Unknown,Unknown,Unknown,,2025-10-13
R1905022,Drieline 1S,,13,Unknown,Unknown,Unknown,,2025-10-13
R1905008,Hydranov P,,14,Unknown,Unknown,Unknown,,2025-10-13
R1905055,Ceramidone,,14,Unknown,Unknown,Unknown,,2025-10-13
R1905000,Allistin P5,,15,Unknown,Unknown,Unknown,,2025-10-13
R1905020,LPD's Asiatic Centella,,16,Unknown,Unknown,Unknown,,2025-10-13
R1905018,Glyco Repair,,17,Available,Contact for quote,Unknown,GLYCO-REPAIR® from Silab. Regenerates natural skin repair processes. Dual action on epidermis and dermis.,2025-11-03
R1905027,Deglysome,,17,Available,Contact for quote,Unknown,DEGLYSOME® from Silab. Protects against cellular and tissular glycation damage.,2025-11-03
R1905035,Sebonormine OP,,17,Available,Contact for quote,Unknown,"SEBONORMINE® from Silab. Triple action for oily skin, reduces sebum secretions.",2025-11-03
R1905041,Unflamagyl,,17,Available,Contact for quote,Unknown,"UNFLAMAGYL® from Silab. Anti-inflammaging ingredient, increases elasticity and tone.",2025-11-03
R1905046,Dermapur HP OP,,17,Available,Contact for quote,Unknown,DERMAPUR® from Silab. Purifying and anti-acne action.,2025-11-03
R1905048,Vitagenyl,,17,Available,Contact for quote,Unknown,"VITAGENYL® from Silab. Adaptative anti-aging strategy, stimulates vitagene expression.",2025-11-03
R1905049,Detoxyl OP,,17,Available,Contact for quote,Unknown,"DETOXYL® from Silab. Powerful detoxifying agent, protects against urban pollutants.",2025-11-03
R1905050,Celldetox,,17,Available,Contact for quote,Unknown,"CELLDETOX® from Silab. Improves skin radiance, limits aging signs.",2025-11-03
R1905051,Mitokinyl,,17,Available,Contact for quote,Unknown,MITOKINYL® from Silab. Mitochondrial energy booster.,2025-11-03
R1905052,Fermiskin GR,,17,Available,Contact for quote,Unknown,FERMISKIN® from Silab. Firming action.,2025-11-03
R1905053,Retilactyl D,,17,Available,Contact for quote,Unknown,RETILACTYL® from Silab. Retinol-like action.,2025-11-03
R1905054,Raffermine 2,,17,Available,Contact for quote,Unknown,RAFFERMINE® from Silab. Firming and toning.,2025-11-03
R1905056,Eternaline,,17,Available,Contact for quote,Unknown,ETERNALINE® from Silab. Longevity and anti-aging.,2025-11-03
R1905057,Oxygeskin,,17,Available,Contact for quote,Unknown,OXYGESKIN® from Silab. Oxygenation and revitalization.,2025-11-03
R1905058,Aquaphyline EL,,17,Available,Contact for quote,Unknown,AQUAPHYLINE® from Silab. Hydration and moisture retention.,2025-11-03
R1905009,Caffeine,,18,Unknown,Unknown,Unknown,,2025-10-13
R1905010,Malic Acid,,18,Unknown,Unknown,Unknown,,2025-10-13
R1905032,Ronacare AP,,18,Unknown,Unknown,Unknown,,2025-10-13
R1905044,Acnacidol BG,,19,Unknown,Unknown,Unknown,,2025-10-13
R1905001,Rayolys D,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"From Natchem, likely a Greentech botanical active.",2025-10-13
R1905037,ARP 100,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"From Natchem, likely a Greentech botanical active.",2025-10-13
R1905045,Meadowsweet Medulat 220016,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"From Natchem, likely a Greentech botanical active.",2025-10-13
R1913000,Ivy Cosmelene Ext,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"From Natchem, likely a Greentech botanical active.",2025-10-13
